id,sub_genre,index
0,Rock,0
1,"Electronic, Rock, Funk / Soul, Pop",1
2,Rock,2
3,"Rock, Pop",3
4,Rock,4
5,Rock,5
6,Electronic,6
7,"Folk, World, & Country",7
8,Rock,8
9,Rock,9
10,"Rock, Folk, World, & Country",10
11,Rock,11
12,Rock,12
13,"Electronic, Funk / Soul",13
14,Rock,14
15,Rock,15
16,"Folk, World, & Country",16
17,Rock,17
18,"Rock, Pop",18
19,Rock,19
20,Rock,20
21,Rock,21
22,Reggae,22
23,Rock,23
24,Rock,24
25,Rock,25
26,"Rock, Latin, Funk / Soul",26
27,Rock,27
28,"Funk / Soul, Pop",28
29,Rock,29
30,"Electronic, Hip Hop, Pop",30
31,"Folk, World, & Country",31
32,"Rock, Pop",32
33,Rock,33
34,"Rock, Pop",34
35,Rock,35
36,Rock,36
37,Rock,37
38,Electronic,38
39,"Electronic, Funk / Soul",39
40,Rock,40
41,"Hip Hop, Funk / Soul, Pop",41
42,Rock,42
43,"Pop, Folk, World, & Country",43
44,Hip Hop,44
45,Rock,45
46,Electronic,46
47,"Jazz, Funk / Soul",47
48,"Pop, Folk, World, & Country",48
49,Rock,49
50,"Rock, Non-Music",50
51,Rock,51
52,"Rock, Folk, World, & Country",52
53,"Electronic, Rock, Funk / Soul, Pop, Stage & Screen",53
54,Rock,54
55,Rock,55
56,"Rock, Pop",56
57,"Electronic, Hip Hop",57
58,"Funk / Soul, Pop",58
59,Rock,59
60,"Pop, Stage & Screen",60
61,"Rock, Blues",61
62,Rock,62
63,Rock,63
64,"Folk, World, & Country",64
65,Rock,65
66,Pop,66
67,Pop,67
68,Rock,68
69,"Electronic, Hip Hop, Pop",69
70,Rock,70
71,Rock,71
72,Hip Hop,72
73,Hip Hop,73
74,"Hip Hop, Funk / Soul",74
75,"Rock, Folk, World, & Country",75
76,"Electronic, Rock, Funk / Soul, Pop, Stage & Screen",76
77,"Electronic, Rock, Funk / Soul, Pop, Stage & Screen",77
78,Rock,78
79,Rock,79
80,"Hip Hop, Funk / Soul",80
81,"Electronic, Hip Hop",81
82,Hip Hop,82
83,Hip Hop,83
84,Hip Hop,84
85,"Rock, Pop",85
86,Rock,86
87,"Electronic, Hip Hop, Pop",87
88,"Electronic, Pop",88
89,Rock,89
90,"Pop, Stage & Screen",90
91,Rock,91
92,Rock,92
93,"Pop, Folk, World, & Country",93
94,Rock,94
95,"Pop, Folk, World, & Country",95
96,Rock,96
97,Hip Hop,97
98,Hip Hop,98
99,Hip Hop,99
100,Hip Hop,100
101,Rock,101
102,"Folk, World, & Country",102
103,"Folk, World, & Country",103
104,"Folk, World, & Country",104
105,"Folk, World, & Country",105
106,"Electronic, Rock, Funk / Soul, Pop",106
107,Rock,107
108,Rock,108
109,"Rock, Pop",109
110,Pop,110
111,"Electronic, Hip Hop, Pop",111
112,Rock,112
113,Funk / Soul,113
114,Electronic,114
115,Pop,115
116,"Latin, Pop",116
117,Hip Hop,117
118,"Electronic, Pop",118
119,"Electronic, Pop",119
120,"Hip Hop, Funk / Soul, Pop",120
121,"Hip Hop, Funk / Soul, Pop",121
122,Pop,122
123,"Electronic, Rock, Funk / Soul, Pop",123
124,"Electronic, Pop, Folk, World, & Country",124
125,Rock,125
126,Rock,126
127,Rock,127
128,Blues,128
129,"Rock, Pop",129
130,"Folk, World, & Country",130
131,Rock,131
132,"Hip Hop, Funk / Soul",132
133,Rock,133
134,"Electronic, Rock, Funk / Soul, Pop, Stage & Screen",134
135,Funk / Soul,135
136,"Folk, World, & Country",136
137,"Electronic, Hip Hop, Pop",137
138,Hip Hop,138
139,Rock,139
140,Rock,140
141,Funk / Soul,141
142,Rock,142
143,Rock,143
144,Hip Hop,144
145,Rock,145
146,"Electronic, Pop",146
